Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Latitude,Longitude,Nearest Waste Site,Nearest Site Category,Distance,Within 45 Mins?
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA956,DAWLISH HOSPITAL,EX7 9DH,50.58057,-3.474801,Heathfield Landfill EPR/BV7028IP,Landfill,18.1 km,Yes
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA957,NEWTON ABBOT HOSPITAL,TQ12 4PT,,,N/A,N/A,0,N/A
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA958,PAIGNTON HOSPITAL,TQ3 3AG,50.437123,-3.568816,Heathfield Landfill EPR/BV7028IP,Landfill,19.0 km,Yes
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA959,TEIGNMOUTH HOSPITAL,TQ14 9BQ,50.548357,-3.511173,Heathfield Landfill EPR/BV7028IP,Landfill,10.6 km,Yes
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA979,TOTNES HOSPITAL,TQ9 5GH,50.432757,-3.684209,Heathfield Landfill EPR/BV7028IP,Landfill,19.6 km,Yes
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9CY,HOLLACOMBE COMMUNITY RESOURCE CENTRE,TQ3 2DJ,50.449004,-3.556067,Heathfield Landfill EPR/BV7028IP,Landfill,18.8 km,Yes
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9KA,KINGS ASH HOUSE,TQ3 3XZ,50.44011,-3.590562,Heathfield Landfill EPR/BV7028IP,Landfill,17.9 km,Yes
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9NH,UNION HOUSE,TQ1 3YA,50.467513,-3.530351,Heathfield Landfill EPR/BV7028IP,Landfill,16.4 km,Yes
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9ORS,OTHER REPORTABLE SITES,TQ2 7AA,50.482303,-3.553819,Heathfield Landfill EPR/BV7028IP,Landfill,14.1 km,Yes
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - SMALL,RBD01,DORSET COUNTY HOSPITAL,DT1 2JY,50.712931,-2.446934,Canford Recycling Centre,Treatment,42.2 km,Yes
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,I9L1N,SULIS HOSPITAL,BA2 8SQ,51.311322,-2.416516,Frome Clinical Waste Treatment Plant and Transfer Station,Treatment,17.7 km,Yes
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RD102,CHIPPENHAM HOSPITAL,SN15 2AJ,51.452538,-2.126704,Sand's Farm Facility,Treatment,13.2 km,Yes
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RD130,ROYAL UNITED HOSPITAL,BA1 3NG,51.391662,-2.391217,Frome Clinical Waste Treatment Plant and Transfer Station,Treatment,25.1 km,Yes
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RD1ORS,OTHER REPORTABLE SITES,BA1 3NG,51.391662,-2.391217,Frome Clinical Waste Treatment Plant and Transfer Station,Treatment,25.1 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY01,BOSCOMBE COMMUNITY HOSPITAL,BH1 4JQ,50.729255,-1.841466,Canford Recycling Centre,Treatment,12.7 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY02,KINGS PARK HOSPITAL,BH7 6JF,50.731582,-1.833353,Canford Recycling Centre,Treatment,13.2 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY0H,DHC OMEGA CENTRE,BH20 4DY,50.694969,-2.108309,Canford Recycling Centre,Treatment,23.0 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY10,ST ANNS HOSPITAL,BH13 7LN,50.699151,-1.928109,Canford Recycling Centre,Treatment,12.2 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY11,HAHNEMAN HOUSE,BH2 5JW,50.717679,-1.886294,Canford Recycling Centre,Treatment,12.4 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY12,ALUMHURST ROAD SITE,BH4 8EW,50.716715,-1.904412,Canford Recycling Centre,Treatment,11.1 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY22,ALDERNEY HOSPITAL,BH12 4NB,50.749698,-1.940974,Canford Recycling Centre,Treatment,5.7 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY24,DOUGLAS HOUSE,BH6 5AJ,50.728137,-1.814834,Canford Recycling Centre,Treatment,13.3 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY25,HILLCREST,BH10 4EU,50.749476,-1.89448,Canford Recycling Centre,Treatment,6.9 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY35,OAKLEY HOUSE,BH21 1SF,50.787013,-1.972009,Canford Recycling Centre,Treatment,4.2 km,Yes
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY38,FAIRMILE HOUSE (THE FLAGHEAD),BH23 2JT,50.743144,-1.792226,Canford Recycling Centre,Treatment,16.1 km,Yes
