Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Integrated Care Board,Local Authority,Site Type,Incineration (clinical waste) cost (£),Incineration (clinical waste) weight (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) weight (Tonnes),Offensive waste cost (£),Offensive waste weight (Tonnes),Clinical waste (excluding incineration) processed on site cost (£),Clinical waste (excluding incineration) processed on site weight (Tonnes),Clinical waste processed at municipal waste plants cost (£),Clinical waste processed at municipal waste plants weight (Tonnes)
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9ORS,OTHER REPORTABLE SITES,TQ2 7AA,NHS DEVON ICB,TORBAY COUNCIL,Other Reportable Site,971,0.02,1289,0.44,0,0,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,E8Q7Z,HOLSWORTHY HOSPITAL,EX22 6JQ,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,637,0.34,107,0.08,644,0.72,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,J7S5V,KESTREL PPE STORE,EX2 7LA,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,K0K6H,ILFRACOMBE HOSPITAL,EX34 8JF,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1654,0.24,1084,0.57,569,0.93,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,K6V4F,TORRINGTON HOSPITAL,EX38 7BJ,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,3303,0.66,13,0.02,486,0.79,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,L4L6K,BARNSTAPLE HEALTH CENTRE,EX32 7BH,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,332,0.35,890,1.05,2187,2.97,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH801,ROYAL DEVON & EXETER HOSPITAL (WONFORD),EX2 5DW,NHS DEVON ICB,DEVON COUNTY COUNCIL,General acute hospital,441448,760,0,0,0,0,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH802,HEAVITREE HOSPITAL ,EX1 2ED,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,26985,47,0,0,0,0,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH833,OKEHAMPTON COMMUNITY HOSPITAL,EX20 1PN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1335,0.31,861,0.79,553,0.39,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH834,OTTERY ST MARY HOSPITAL,EX11 1DN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,3151,0.86,1938,2.49,1874,1.66,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH836,CREDITON HOSPITAL,EX17 3NH,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1482,0.23,428,0.5,234,0.3,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH837,SOUTH MOLTON HOSPITAL,EX36 4DP,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),665,0.68,1627,1.35,2832,7.17,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH853,TIVERTON & DISTRICT HOSPITAL,EX16 6AN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),3209,3.99,10145,11.36,7115,10.19,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH854,HONITON HOSPITAL,EX14 2DE,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),9731,8.31,1722,1.85,937,0.8,0,0,0,0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,RH857,AXMINSTER HOSPITAL,EX13 5DU,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1131,0.31,5154,3.43,766,0.53,0,0,0,0
