Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Integrated Care Board,Local Authority,Site Type,Incineration (clinical waste) cost (£),Incineration (clinical waste) weight (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) weight (Tonnes),Offensive waste cost (£),Offensive waste weight (Tonnes),Clinical waste (excluding incineration) processed on site cost (£),Clinical waste (excluding incineration) processed on site weight (Tonnes),Clinical waste processed at municipal waste plants cost (£),Clinical waste processed at municipal waste plants weight (Tonnes)
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV55,TORBAY HOSPITAL,TQ2 7AA,NHS DEVON ICB,TORBAY COUNCIL,Mental Health (including Specialist services),1201,0.38,0,0,3032,1.73,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV62,WONFORD HOUSE HOSPITAL,EX2 5AF,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),2900,1.47,0,0,2200,1.01,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV70,LANGDON HOSPITAL,EX7 0NR,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health and Learning Disabilities,2250,0.51,0,0,922,0.35,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV88,HAYDONS COURT (THE BUNGALOW),EX14 2DE,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),405,0.1,0,0,627,0.46,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV93,THE CEDARS (EXETER),EX2 5SN,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),0,0,0,0,727,0.14,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV94,HOSPITAL LANE - ASU (WHIPTON),EX1 3PQ,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),205,0.16,0,0,532,0.45,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWV98,FRANKLYN HOSPITAL SITE,EX2 9HS,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),2220,0.52,0,0,4303,3.99,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWVFT,CAMHS LIAISON (EVERGREEN HOUSE),EX2 4NU,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),0,0,0,0,145,0.03,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWVJK-X,PICU - THE JUNIPERS,EX2 5AG,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),0,0,0,0,87,0.02,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWVMZ,N DEVON SECTOR B (NMP) - WEST PILTON OFFICES,EX31 1QL,NHS DEVON ICB,DEVON COUNTY COUNCIL,Mental Health (including Specialist services),72,0.03,0,0,285,0.05,0,0,0,0
RWV,DEVON PARTNERSHIP NHS TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RWVORS,OTHER REPORTABLE SITES,EX2 5AF,NHS DEVON ICB,DEVON COUNTY COUNCIL,Other Reportable Site,233,0.2,0,0,1280,0.31,0,0,0,0
