Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Integrated Care Board,Local Authority,Site Type,Incineration (clinical waste) cost (£),Incineration (clinical waste) weight (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) weight (Tonnes),Offensive waste cost (£),Offensive waste weight (Tonnes),Clinical waste (excluding incineration) processed on site cost (£),Clinical waste (excluding incineration) processed on site weight (Tonnes),Clinical waste processed at municipal waste plants cost (£),Clinical waste processed at municipal waste plants weight (Tonnes),Latitude,Longitude,Incin_Waste,AT_Waste,Total_Waste,Cluster
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA905,REGENT HOUSE,TQ2 7AN,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,0,0.0,0,0.0,0,0.0,0,0,0,0,50.479726,-3.549394,0.0,0.0,0.0,18
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA906,ST EDMUNDS,TQ1 3QH,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,1017,0.16,0,0.0,0,0.0,0,0,0,0,50.476172,-3.528446,0.16,0.0,0.16,18
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA90J,CASTLE CIRCUS HEALTH CENTRE,TQ2 7AJ,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,1846,0.22,1977,2.6,0,0.0,0,0,0,0,50.484066,-3.551763,0.22,2.6,2.8200000000000003,18
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA949,"UNIT 7, LONG ROAD",TQ4 7HP,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,0,0.0,0,0.0,0,0.0,0,0,0,0,50.412017,-3.588959,0.0,0.0,0.0,18
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA952,ASHBURTON AND BUCKFASTLEIGH HOSPITAL,TQ13 7AP,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,358,0.11,779,0.09,474,2.92,0,0,0,0,50.519041,-3.748613,0.11,3.01,3.1199999999999997,-1
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA954,BRIXHAM HOSPITAL,TQ5 9HW,NHS DEVON ICB,TORBAY COUNCIL,Community hospital (with inpatient beds),1480,0.36,1499,2.01,3235,6.6,0,0,0,0,50.389428,-3.513838,0.36,8.61,8.969999999999999,18
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA956,DAWLISH HOSPITAL,EX7 9DH,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),725,0.15,1434,1.65,3336,7.5,0,0,0,0,50.58057,-3.474801,0.15,9.15,9.3,17
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA958,PAIGNTON HOSPITAL,TQ3 3AG,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,793,0.23,1411,1.05,1958,3.42,0,0,0,0,50.437123,-3.568816,0.23,4.47,4.7,18
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA959,TEIGNMOUTH HOSPITAL,TQ14 9BQ,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1027,0.28,268,0.17,1783,2.73,0,0,0,0,50.548357,-3.511173,0.28,2.9,3.1799999999999997,17
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA979,TOTNES HOSPITAL,TQ9 5GH,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),1650,0.58,1602,2.88,1405,4.59,0,0,0,0,50.432757,-3.684209,0.58,7.47,8.049999999999999,18
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9CY,HOLLACOMBE COMMUNITY RESOURCE CENTRE,TQ3 2DJ,NHS DEVON ICB,TORBAY COUNCIL,Learning Disabilities,0,0.0,257,0.04,1969,2.65,0,0,0,0,50.449004,-3.556067,0.0,2.69,2.69,18
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9KA,KINGS ASH HOUSE,TQ3 3XZ,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,946,0.1,0,0.0,0,0.0,0,0,0,0,50.44011,-3.590562,0.1,0.0,0.1,18
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9NH,UNION HOUSE,TQ1 3YA,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,0,0.0,0,0.0,0,0.0,0,0,0,0,50.467513,-3.530351,0.0,0.0,0.0,18
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9ORS,OTHER REPORTABLE SITES,TQ2 7AA,NHS DEVON ICB,TORBAY COUNCIL,Other Reportable Site,971,0.02,1289,0.44,0,0.0,0,0,0,0,50.482303,-3.553819,0.02,0.44,0.46,18
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - SMALL,RBD01,DORSET COUNTY HOSPITAL,DT1 2JY,NHS DORSET ICB,DORSET COUNCIL,General acute hospital,60190,63.14,74409,133.8,89337,275.29,0,0,0,0,50.712931,-2.446934,63.14,409.09000000000003,472.23,0
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,I9L1N,SULIS HOSPITAL,BA2 8SQ,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",BATH AND NORTH EAST SOMERSET COUNCIL,Other inpatient,56332,56.72,0,0.0,0,0.0,0,0,0,0,51.311322,-2.416516,56.72,0.0,56.72,7
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RD102,CHIPPENHAM HOSPITAL,SN15 2AJ,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",WILTSHIRE COUNCIL,Community hospital (with inpatient beds),Not Applicable,0.0,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.452538,-2.126704,0.0,0.0,0.0,-1
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RD130,ROYAL UNITED HOSPITAL,BA1 3NG,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",BATH AND NORTH EAST SOMERSET COUNCIL,General acute hospital,183345,183.73,51880,88.03,118774,497.97,0,0,0,0,51.391662,-2.391217,183.73,586.0,769.73,7
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RD1ORS,OTHER REPORTABLE SITES,BA1 3NG,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",BATH AND NORTH EAST SOMERSET COUNCIL,Other Reportable Site,0,0.0,0,0.0,0,0.0,0,0,0,0,51.391662,-2.391217,0.0,0.0,0.0,7
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY01,BOSCOMBE COMMUNITY HOSPITAL,BH1 4JQ,NHS DORSET ICB,BCP COUNCIL,Non inpatient,3011,1.47,4376,3.47,2101,2.19,0,0,0,0,50.729255,-1.841466,1.47,5.66,7.13,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY02,KINGS PARK HOSPITAL,BH7 6JF,NHS DORSET ICB,BCP COUNCIL,Non inpatient,2562,2.2,2047,2.03,1028,2.18,0,0,0,0,50.731582,-1.833353,2.2,4.21,6.41,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY0H,DHC OMEGA CENTRE,BH20 4DY,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,0,0.0,0,0.0,120,2.0,0,0,0,0,50.694969,-2.108309,0.0,2.0,2.0,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY10,ST ANNS HOSPITAL,BH13 7LN,NHS DORSET ICB,BCP COUNCIL,Mental Health (including Specialist services),1244,0.83,904,0.66,5316,3.54,0,0,0,0,50.699151,-1.928109,0.83,4.2,5.03,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY11,HAHNEMAN HOUSE,BH2 5JW,NHS DORSET ICB,BCP COUNCIL,Non inpatient,673,0.16,94,0.05,132,0.15,0,0,0,0,50.717679,-1.886294,0.16,0.2,0.36,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY12,ALUMHURST ROAD SITE,BH4 8EW,NHS DORSET ICB,BCP COUNCIL,Mental Health and Learning Disabilities,876,0.22,889,0.61,3512,2.49,0,0,0,0,50.716715,-1.904412,0.22,3.1,3.3200000000000003,11
