Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Integrated Care Board,Local Authority,Site Type,Incineration (clinical waste) cost (£),Incineration (clinical waste) weight (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) weight (Tonnes),Offensive waste cost (£),Offensive waste weight (Tonnes),Clinical waste (excluding incineration) processed on site cost (£),Clinical waste (excluding incineration) processed on site weight (Tonnes),Clinical waste processed at municipal waste plants cost (£),Clinical waste processed at municipal waste plants weight (Tonnes),Latitude,Longitude
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,Q6Z8C,DARTMOUTH HEALTH & WELLBEING CENTRE,TQ6 0JL,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,380,0.15,667,0.49,227,0.25,0,0,0,0,50.346764,-3.603421
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA901,TORBAY DISTRICT GENERAL HOSPITAL,TQ2 7AA,NHS DEVON ICB,TORBAY COUNCIL,General acute hospital,202667,160.18,101910,206.38,84120,299.9,0,0,0,0,50.482303,-3.553819
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA905,REGENT HOUSE,TQ2 7AN,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0,50.479726,-3.549394
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA906,ST EDMUNDS,TQ1 3QH,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,1017,0.16,0,0,0,0,0,0,0,0,50.476172,-3.528446
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA90J,CASTLE CIRCUS HEALTH CENTRE,TQ2 7AJ,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,1846,0.22,1977,2.6,0,0,0,0,0,0,50.484066,-3.551763
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA949,"UNIT 7, LONG ROAD",TQ4 7HP,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0,50.412017,-3.588959
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA952,ASHBURTON AND BUCKFASTLEIGH HOSPITAL,TQ13 7AP,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,358,0.11,779,0.09,474,2.92,0,0,0,0,50.519041,-3.748613
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA954,BRIXHAM HOSPITAL,TQ5 9HW,NHS DEVON ICB,TORBAY COUNCIL,Community hospital (with inpatient beds),1480,0.36,1499,2.01,3235,6.6,0,0,0,0,50.389428,-3.513838
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA956,DAWLISH HOSPITAL,EX7 9DH,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),725,0.15,1434,1.65,3336,7.5,0,0,0,0,50.58057,-3.474801
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA957,NEWTON ABBOT HOSPITAL,TQ12 4PT,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),4565,2.61,7044,11.57,13076,34.65,0,0,0,0,,
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA958,PAIGNTON HOSPITAL,TQ3 3AG,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,793,0.23,1411,1.05,1958,3.42,0,0,0,0,50.437123,-3.568816
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA959,TEIGNMOUTH HOSPITAL,TQ14 9BQ,NHS DEVON ICB,DEVON COUNTY COUNCIL,Non inpatient,1027,0.28,268,0.17,1783,2.73,0,0,0,0,50.548357,-3.511173
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA979,TOTNES HOSPITAL,TQ9 5GH,NHS DEVON ICB,DEVON COUNTY COUNCIL,Community hospital (with inpatient beds),1650,0.58,1602,2.88,1405,4.59,0,0,0,0,50.432757,-3.684209
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9CY,HOLLACOMBE COMMUNITY RESOURCE CENTRE,TQ3 2DJ,NHS DEVON ICB,TORBAY COUNCIL,Learning Disabilities,0,0,257,0.04,1969,2.65,0,0,0,0,50.449004,-3.556067
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9KA,KINGS ASH HOUSE,TQ3 3XZ,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,946,0.1,0,0,0,0,0,0,0,0,50.44011,-3.590562
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9NH,UNION HOUSE,TQ1 3YA,NHS DEVON ICB,TORBAY COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0,50.467513,-3.530351
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RA9ORS,OTHER REPORTABLE SITES,TQ2 7AA,NHS DEVON ICB,TORBAY COUNCIL,Other Reportable Site,971,0.02,1289,0.44,0,0,0,0,0,0,50.482303,-3.553819
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - SMALL,RBD01,DORSET COUNTY HOSPITAL,DT1 2JY,NHS DORSET ICB,DORSET COUNCIL,General acute hospital,60190,63.14,74409,133.8,89337,275.29,0,0,0,0,50.712931,-2.446934
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,I9L1N,SULIS HOSPITAL,BA2 8SQ,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",BATH AND NORTH EAST SOMERSET COUNCIL,Other inpatient,56332,56.72,0,0,0,0,0,0,0,0,51.311322,-2.416516
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RD102,CHIPPENHAM HOSPITAL,SN15 2AJ,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",WILTSHIRE COUNCIL,Community hospital (with inpatient beds),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,51.452538,-2.126704
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RD130,ROYAL UNITED HOSPITAL,BA1 3NG,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",BATH AND NORTH EAST SOMERSET COUNCIL,General acute hospital,183345,183.73,51880,88.03,118774,497.97,0,0,0,0,51.391662,-2.391217
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,RD1ORS,OTHER REPORTABLE SITES,BA1 3NG,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",BATH AND NORTH EAST SOMERSET COUNCIL,Other Reportable Site,0,0,0,0,0,0,0,0,0,0,51.391662,-2.391217
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY01,BOSCOMBE COMMUNITY HOSPITAL,BH1 4JQ,NHS DORSET ICB,BCP COUNCIL,Non inpatient,3011,1.47,4376,3.47,2101,2.19,0,0,0,0,50.729255,-1.841466
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY02,KINGS PARK HOSPITAL,BH7 6JF,NHS DORSET ICB,BCP COUNCIL,Non inpatient,2562,2.2,2047,2.03,1028,2.18,0,0,0,0,50.731582,-1.833353
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY0H,DHC OMEGA CENTRE,BH20 4DY,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,0,0,0,0,120,2,0,0,0,0,50.694969,-2.108309
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY10,ST ANNS HOSPITAL,BH13 7LN,NHS DORSET ICB,BCP COUNCIL,Mental Health (including Specialist services),1244,0.83,904,0.66,5316,3.54,0,0,0,0,50.699151,-1.928109
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY11,HAHNEMAN HOUSE,BH2 5JW,NHS DORSET ICB,BCP COUNCIL,Non inpatient,673,0.16,94,0.05,132,0.15,0,0,0,0,50.717679,-1.886294
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY12,ALUMHURST ROAD SITE,BH4 8EW,NHS DORSET ICB,BCP COUNCIL,Mental Health and Learning Disabilities,876,0.22,889,0.61,3512,2.49,0,0,0,0,50.716715,-1.904412
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY22,ALDERNEY HOSPITAL,BH12 4NB,NHS DORSET ICB,BCP COUNCIL,Community hospital (with inpatient beds),1285,1.07,2397,2.2,14257,17.55,0,0,0,0,50.749698,-1.940974
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY24,DOUGLAS HOUSE,BH6 5AJ,NHS DORSET ICB,BCP COUNCIL,Non inpatient,40,0.01,210,0.11,121,0.1,0,0,0,0,50.728137,-1.814834
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY25,HILLCREST,BH10 4EU,NHS DORSET ICB,BCP COUNCIL,Non inpatient,323,0.09,0,0,0,0,0,0,0,0,50.749476,-1.89448
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY35,OAKLEY HOUSE,BH21 1SF,NHS DORSET ICB,BCP COUNCIL,Mental Health and Learning Disabilities,177,0.07,0,0,261,0.5,0,0,0,0,50.787013,-1.972009
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY38,FAIRMILE HOUSE (THE FLAGHEAD),BH23 2JT,NHS DORSET ICB,BCP COUNCIL,Non inpatient,2443,0.82,1131,0.82,506,0.06,0,0,0,0,50.743144,-1.792226
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY62,POOLE COMMUNITY HEALTH CLINIC,BH15 2NT,NHS DORSET ICB,BCP COUNCIL,Non inpatient,130,0.03,422,0.31,136,0.1,0,0,0,0,50.721888,-1.976382
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDY99,DELPHWOOD,BH17 8WG,NHS DORSET ICB,BCP COUNCIL,Non inpatient,0,0,0,0,181,0.03,0,0,0,0,50.747542,-1.966519
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEF,WEYMOUTH COMMUNITY HOSPITAL,DT4 7TB,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,2003,2.15,1748,1.67,5842,4.34,0,0,0,0,50.621025,-2.451009
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEG,WESTHAVEN HOSPITAL,DT4 0QE,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),1899,0.84,2102,2.05,6976,7.57,0,0,0,0,50.61501,-2.479941
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEH,PORTLAND HOSPITAL,DT5 1AX,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,546,0.33,98,0.05,424,0.79,0,0,0,0,50.565805,-2.444819
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEJ,BRIDPORT COMMUNITY HOSPITAL,DT6 5DR,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),1668,1.33,3210,2.48,7411,6.92,0,0,0,0,50.741594,-2.769929
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYER,BLANDFORD COMMUNITY HOSPITAL,DT11 7DD,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),662,0.5,2751,2.31,5969,5.2,0,0,0,0,50.863063,-2.16798
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEW,"FORSTON CLINIC, HERRISON",DT2 9TB,NHS DORSET ICB,DORSET COUNCIL,Mental Health and Learning Disabilities,2350,1.68,938,0.76,2388,3.35,0,0,0,0,50.754318,-2.45334
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEY,WESTMINSTER MEMORIAL HOSPITAL,SP7 8BD,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),1697,0.86,1027,1.15,4329,5.09,0,0,0,0,51.004714,-2.200145
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFC,YEATMAN HOSPITAL,DT9 3JU,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),1123,0.83,3117,2.72,10160,9.21,0,0,0,0,50.949725,-2.519044
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFD,WAREHAM COMMUNITY HOSPITAL,BH20 4QQ,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,1925,0.96,824,0.5,1747,3.2,0,0,0,0,50.686975,-2.116741
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFE,WIMBORNE COMMUNITY HOSPITAL,BH21 1ER,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),4424,3.27,2528,2.92,6384,5.86,0,0,0,0,50.802186,-1.995911
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFF,SWANAGE COMMUNITY HOSPITAL,BH19 2ES,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),633,0.33,2685,3.07,4269,4.36,0,0,0,0,50.605498,-1.961207
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFG,ST LEONARDS COMMUNITY HOSPITAL,BH24 2RR,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,1897,1.14,979,0.46,2625,3.57,0,0,0,0,50.81735,-1.856599
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFP,FREDERICK TREVES HOUSE,DT1 2FD,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.713492,-2.457605
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFT,MAIDEN CASTLE,DT1 2ER,NHS DORSET ICB,DORSET COUNCIL,Mental Health and Learning Disabilities,628,0.1,393,0.19,1590,1.45,0,0,0,0,50.706052,-2.444546
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYJP,LITTLEMOOR HEALTH CENTRE,DT3 6SA,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0,50.647736,-2.455409
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYNM,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST HQ (SENTINAL HOUSE),BH17 0RB,NHS DORSET ICB,BCP COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1622,0.07,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.740063,-1.978032
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYORS,OTHER REPORTABLE SITES,BH1 4JQ,NHS DORSET ICB,BCP COUNCIL,Other Reportable Site,10044,3.72,10504,8.75,4257,2.91,0,0,0,0,50.729255,-1.841466
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,REF01,WEST CORNWALL HOSPITAL,TR18 2PF,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,General acute hospital,66829,97.22,0,0,0,0,0,0,0,0,50.122046,-5.543031
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,REF02,ST MICHAELS HOSPITAL,TR27 4JA,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,General acute hospital,52427,76.26,0,0,0,0,0,0,0,0,50.180342,-5.424475
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,REF12,ROYAL CORNWALL HOSPITAL,TR1 3LJ,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,General acute hospital,676007,983.49,0,0,0,0,0,0,0,0,50.266675,-5.091511
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,REF81,ST AUSTELL COMMUNITY HOSPITAL,PL26 6AD,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.327864,-4.772405
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,REFORS,OTHER REPORTABLE SITES,TR1 3LJ,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Other Reportable Site,0,0,0,0,0,0,0,0,0,0,50.266675,-5.091511
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,REFY1,SUSTENTATION,TR15 3RQ,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,0,0,0,0,0,0,0,0,0,0,50.227412,-5.251429
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,V8H3Z,RCHT CENTRAL STORES,TR4 9LD,NHS CORNWALL AND THE ISLES OF SCILLY ICB,CORNWALL COUNCIL,Non inpatient,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.261693,-5.123058
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH523,PARKGATE HOUSE,TA1 3EX,NHS SOMERSET ICB,SOMERSET COUNTY COUNCIL,Non inpatient,1222,0.3,1934,3.56,558,1.04,0,0,0,0,51.016138,-3.091189
