Facility_Type,Latitude,Longitude,Rationale
Incinerator,50.70661367819777,-3.730083958334435,Based on Infectious Waste & Distance to Existing Incinerators
AT_Facility,51.1112977765594,-3.001490713099065,Based on AT/Offensive Waste & Distance to Existing Treatment
